year,median
1680,-0.0
1681,-0.4375
1682,-0.3125
1683,0.1875
1684,-0.625
1685,-1.5
1686,-0.375
1687,0.125
1688,0.3125
1689,0.3125
1690,-0.0625
1691,-0.5
1692,-0.125
1693,-0.125
1694,-0.0625
1695,0.0625
1696,-0.5625
1697,-0.8125
1698,-0.3125
1699,0.25
1700,-0.4375
1701,0.4375
1702,-0.375
1703,-0.625
1704,-0.6875
1705,-0.5625
1706,-0.4375
1707,-0.375
1708,-0.125
1709,-0.3125
1710,-0.1875
1711,0.0
1712,0.0625
1713,-0.1875
1714,-0.25
1715,-0.5
1716,-1.1875
1717,-0.75
1718,0.625
1719,0.875
1720,0.6875
1721,0.6875
1722,-0.375
1723,0.375
1724,-0.75
1725,-1.3125
1726,-0.4375
1727,0.125
1728,-0.625
1729,-0.0625
1730,-0.8125
1731,-0.3125
1732,0.0
1733,-0.875
1734,0.5625
1735,0.625
1736,0.0
1737,0.3125
1738,0.25
1739,-1.125
1740,0.0625
1741,-0.5625
1742,-1.5625
1743,-0.3125
1744,-0.3125
1745,0.875
1746,0.5625
1747,1.3125
1748,-0.1875
1749,-0.375
1750,-0.25
1751,-0.125
1752,-1.0
1753,-0.75
1754,-0.6875
1755,-0.75
1756,-0.0625
1757,-0.5625
1758,-0.125
1759,1.25
1760,-0.375
1761,0.4375
1762,0.125
1763,-0.125
1764,0.8125
1765,-0.3125
1766,0.375
1767,-0.25
1768,-0.0625
1769,0.375
1770,0.75
1771,0.3125
1772,-0.375
1773,-0.75
1774,-0.625
1775,-1.0625
1776,-0.0625
1777,0.0625
1778,-0.875
1779,-0.4375
1780,-0.25
1781,-0.4375
1782,-0.1875
1783,0.6875
1784,-0.8125
1785,-0.875
1786,-0.75
1787,0.375
1788,-0.6875
1789,-0.4375
1790,-0.875
1791,0.25
1792,1.25
1793,0.625
1794,0.0625
1795,-0.0625
1796,-0.25
1797,-0.1875
1798,0.0625
1799,0.5
1800,1.0
1801,-0.9375
1802,-0.625
1803,0.4375
1804,1.1875
1805,-1.125
1806,-1.3125
1807,-0.375
1808,-0.5625
1809,-1.0
1810,-0.6875
1811,0.25
1812,-0.25
1813,-0.0625
1814,0.5625
1815,-0.5625
1816,0.4375
1817,0.5625
1818,-0.1875
1819,-0.6875
1820,-0.875
1821,0.625
1822,0.125
1823,-0.125
1824,0.5
1825,0.3125
1826,-0.5
1827,0.625
1828,0.8125
1829,-0.8125
1830,-0.3125
1831,-0.375
1832,0.625
1833,0.8125
1834,0.5
1835,-0.5
1836,-0.3125
1837,0.5
1838,0.75
1839,1.25
1840,0.375
1841,0.25
1842,-0.125
1843,0.125
1844,0.6875
1845,0.375
1846,0.3125
1847,-1.3125
1848,-0.3125
1849,-0.125
1850,0.3125
1851,-0.5
1852,0.0625
1853,0.5625
1854,-0.125
1855,0.125
1856,0.1875
1857,-0.6875
1858,-0.125
1859,0.125
1860,-0.1875
1861,-1.5625
1862,-1.1875
1863,-0.625
1864,-0.9375
1865,0.5
1866,0.75
1867,-0.0625
1868,0.125
1869,1.625
1870,-0.5
1871,-1.1875
1872,-0.0
1873,-0.5
1874,-0.3125
1875,-0.375
1876,0.125
1877,0.0625
1878,1.5625
1879,-1.75
1880,-1.5
1881,-0.6875
1882,-0.25
1883,-0.5
1884,0.1875
1885,0.875
1886,0.5
1887,-1.5
1888,-0.0625
1889,0.8125
1890,-1.375
1891,-0.6875
1892,-0.1875
1893,-1.625
1894,-1.0
1895,-0.4375
1896,0.375
1897,0.5625
1898,-0.875
1899,-1.4375
1900,-0.0
1901,-0.1875
1902,-1.25
1903,0.75
1904,-0.8125
1905,0.5625
1906,0.625
1907,0.5625
1908,0.375
1909,-1.0
1910,-1.3125
1911,-1.0625
1912,0.5
1913,-0.5625
1914,1.125
1915,0.5
1916,-1.25
1917,-2.5
1918,-1.375
1919,1.125
1920,1.1875
1921,-0.125
1922,-0.5625
1923,-0.375
1924,0.0625
1925,-1.375
1926,0.3125
1927,-1.0625
1928,-0.625
1929,-1.0
1930,0.25
1931,0.875
1932,-0.375
1933,-0.4375
1934,-1.0
1935,0.0
1936,-0.625
1937,0.1875
1938,-0.375
1939,-0.875
1940,-0.375
1941,1.125
1942,0.4375
1943,-0.875
1944,-0.5625
1945,-0.125
1946,-0.875
1947,-0.3125
1948,-0.875
1949,-0.625
1950,-1.0
1951,-1.125
1952,0.5
1953,-0.875
1954,-0.5625
1955,-0.8125
1956,-1.5625
1957,-0.3125
1958,1.25
1959,0.0625
1960,-0.125
1961,-0.5
1962,-0.9375
1963,-0.6875
1964,0.5625
1965,-0.4375
1966,0.4375
1967,-0.375
1968,-0.25
1969,0.875
1970,-0.4375
1971,-2.25
1972,-0.25
1973,1.125
1974,-1.5625
1975,-0.625
1976,-1.0625
1977,0.0625
1978,-0.1875
1979,0.9375
1980,0.5
1981,0.0625
1982,0.1875
1983,1.1875
1984,-0.6875
1985,-0.125
1986,0.1875
1987,1.9375
1988,1.0625
1989,-0.5625
1990,-0.3125
1991,0.9375
1992,2.25
1993,1.9375
1994,0.75
1995,0.6875
