year,lower,median,upper
1100,-2,-0.3125,1.4375
1101,-2,-0.3125,1.4375
1102,-1.5,0.1875,1.9375
1103,-1.625,-0,1.75
1104,-1.9375,-0.3125,1.4375
1105,-2.125,-0.5,1.25
1106,-1.8125,-0.1875,1.625
1107,-1.875,-0.25,1.5
1108,-2.3125,-0.6875,1.125
1109,-1.625,-0,1.8125
1110,-1.5625,0.0625,1.8125
1111,-2,-0.3125,1.4375
1112,-1.6875,-0.0625,1.75
1113,-2,-0.375,1.375
1114,-1.6875,0,1.75
1115,-1.5,0.125,1.875
1116,-1.3125,0.3125,2.0625
1117,-1.3125,0.375,2.125
1118,-1.375,0.25,2.0625
1119,-1.75,-0.125,1.6875
1120,-1.625,0.0625,1.8125
1121,-2.25,-0.625,1.1875
1122,-1.3125,0.3125,2.125
1123,-1.6875,-0.0625,1.75
1124,-1.625,-0,1.8125
1125,-1.8125,-0.1875,1.5625
1126,-2.4375,-0.75,1
1127,-2.0625,-0.4375,1.3125
1128,-1.625,-0,1.8125
1129,-1.4375,0.1875,2
1130,-2.125,-0.4375,1.3125
1131,-2.375,-0.6875,1.0625
1132,-2.1875,-0.5625,1.25
1133,-2.25,-0.5625,1.1875
1134,-2.625,-0.9375,0.8125
1135,-2.1875,-0.5625,1.25
1136,-1.625,0,1.75
1137,-2,-0.375,1.375
1138,-2.4375,-0.75,1
1139,-1.5625,0.0625,1.8125
1140,-2,-0.375,1.375
1141,-1.375,0.25,2.0625
1142,-1.6875,-0.0625,1.6875
1143,-2,-0.375,1.375
1144,-1.75,-0.125,1.625
1145,-1.5,0.1875,1.9375
1146,-2.625,-0.9375,0.8125
1147,-2.625,-1.1875,0.4375
1148,-2.375,-0.9375,0.6875
1149,-2.6875,-1.1875,0.4375
1150,-3.375,-1.875,-0.25
1151,-2.6875,-1.25,0.375
1152,-2,-0.5625,1.0625
1153,-2.625,-1.1875,0.4375
1154,-2.8125,-1.375,0.25
1155,-2.125,-0.75,0.9375
1156,-2.5,-1.0625,0.5625
1157,-2.5,-1.0625,0.5625
1158,-2.6875,-1.25,0.375
1159,-1.5625,-0.1875,1.4375
1160,-1.6875,-0.25,1.375
1161,-2.125,-0.6875,0.9375
1162,-1.6875,-0.25,1.375
1163,-1.75,-0.375,1.3125
1164,-1.875,-0.5,1.1875
1165,-2.0625,-0.6875,1
1166,-2.875,-1.375,0.25
1167,-2.25,-0.8125,0.8125
1168,-2,-0.5625,1.0625
1169,-2.4375,-1,0.625
1170,-1.9375,-0.5,1.125
1171,-1.375,-0,1.625
1172,-2,-0.5625,1.0625
1173,-1.875,-0.5,1.125
1174,-2.875,-1.4375,0.1875
1175,-2.625,-1.1875,0.4375
1176,-2.25,-0.8125,0.8125
1177,-2.375,-0.9375,0.6875
1178,-2.0625,-0.625,1
1179,-1.8125,-0.375,1.25
1180,-1.5,-0.0625,1.5625
1181,-1.5625,-0.125,1.5
1182,-2.125,-0.6875,0.9375
1183,-1.875,-0.4375,1.1875
1184,-1.5625,-0.125,1.5
1185,-1.8125,-0.375,1.25
1186,-2.5625,-1.125,0.5
1187,-1.75,-0.3125,1.3125
1188,-2,-0.5625,1.125
1189,-2.3125,-0.875,0.75
1190,-1.9375,-0.5625,1.125
1191,-1.625,-0.25,1.375
1192,-1.8125,-0.375,1.25
1193,-2.1875,-0.75,0.875
1194,-2.25,-0.8125,0.8125
1195,-2.0625,-0.625,1
1196,-1.3125,0.0625,1.75
1197,-1.1875,0.1875,1.875
1198,-1.875,-0.4375,1.1875
1199,-2.3125,-0.875,0.75
1200,-1.75,-0.3125,1.3125
1201,-1.5625,-0.125,1.5
1202,-1.625,-0.1875,1.4375
1203,-1.4375,-0.0625,1.5625
1204,-2.1875,-0.75,0.875
1205,-2.4375,-1,0.625
1206,-2,-0.5625,1.0625
1207,-1.625,-0.1875,1.4375
1208,-1.875,-0.4375,1.1875
1209,-1.5,-0.0625,1.5625
1210,-1.8125,-0.4375,1.25
1211,-1.5,-0.0625,1.5625
1212,-1.8125,-0.4375,1.25
1213,-1.6875,-0.25,1.375
1214,-2.375,-0.9375,0.6875
1215,-3.1875,-1.75,-0.125
1216,-2.5625,-1.125,0.5
1217,-3.0625,-1.625,0
1218,-2.9375,-1.5,0.125
1219,-2.0625,-0.6875,0.9375
1220,-1.8125,-0.375,1.25
1221,-1.75,-0.3125,1.3125
1222,-1.0625,0.375,2.0625
1223,-1.6875,-0.25,1.375
1224,-1.5,-0.0625,1.5625
1225,-1.5625,-0.125,1.5
1226,-1.3125,0.125,1.75
