,date,c13,o18
0,1798.08,-25.98,28.0580777352319
1,1798.25,-25.79,26.6545111158973
2,1798.42,-25.62,27.2551066839746
3,1798.58,-25.57,27.6128689994836
4,1798.75,-26.05,27.2531825984246
5,1798.92,-25.71,28.9273927945222
6,1799.08,-25.96,28.2130801785409
7,1799.25,-25.73,28.6973514731634
8,1799.42,-24.71,29.4569177772836
9,1799.42,-24.44,29.4319220139668
10,1799.58,-25.27,28.4334520071174
11,1799.75,-25.09,26.9640987850336
12,1799.92,-25.44,27.7367739177912
13,1800.08,-25.21,29.3421104030293
14,1800.08,-25.73,27.9513914954895
15,1800.25,-25.72,28.7663623317088
16,1800.42,-25.62,28.4446128989051
17,1800.58,-25.1,28.2675972261657
18,1800.75,-24.99,28.0057154834317
19,1800.92,-25.28,27.7135592720783
20,1801.08,-25.86,27.2052248355438
21,1801.25,-24.5,28.2442597359323
22,1801.42,-24.21,27.0795113824482
23,1801.42,-24.1,27.2664101442564
24,1801.58,-24.87,27.9941243126081
25,1801.75,-25.19,27.836602560775
26,1801.75,-25.09,27.9032294065756
27,1801.92,-25.61,27.3530466426149
28,1802.08,-24.93,26.4919568708272
29,1802.25,-24.86,26.8818530290369
30,1802.42,-24.87,27.2675400188855
31,1802.58,-24.95,27.9405406023328
32,1802.75,-24.9,25.6627770423631
33,1802.92,-25.9,26.1103849628853
34,1803.08,-25.9,26.8664741843498
35,1803.25,-24.11,27.5535514054809
36,1803.25,-23.96,28.0275772126572
37,1803.42,-24.36,28.0359495500936
38,1803.58,-24.74,27.8348507579921
39,1803.75,-24.84,27.1599325571856
40,1803.92,-24.42,27.938872010281
41,1804.08,-24.59,27.8064036628258
42,1804.25,-25.5,26.9504036757085
43,1804.42,-25.68,26.8209251035785
44,1804.58,-25.34,26.6190331987051
45,1804.75,-26.68,26.1434950887532
46,1804.92,-26.98,25.6091022022277
47,1805.08,-26.79,27.7497001980505
48,1805.25,-26.78,27.3299395007606
49,1805.42,-26.25,28.346107701835
50,1805.58,-26.62,27.4225605472131
51,1805.75,-26.8,27.6906292721928
52,1805.92,-26.9,27.7646074690652
53,1806.08,-25.36,28.8794477728036
54,1806.25,-25.04,29.098680854849
55,1806.42,-25.87,28.2238175559501
56,1806.58,-26.68,26.6643110175029
57,1806.75,-26.52,26.2088672726596
58,1806.92,-26.03,27.947121157507
59,1807.08,-26.35,28.3017270110629
60,1807.25,-26.64,27.7892861277703
61,1807.42,-27.05,27.4755980609976
62,1807.58,-26.73,28.9785506400084
63,1807.75,-26.5,28.5345580173082
64,1807.92,-26.98,26.9809463155234
65,1808.08,-25.57,27.6720256123854
66,1808.25,-25.45,26.6406167745385
67,1808.42,-25.11,27.4921296589613
68,1808.58,-25.25,28.1567964489309
69,1808.75,-25.21,28.5190457718756
70,1808.92,-25.45,28.1990201674899
71,1809.08,-25.63,27.2537365151611
72,1809.25,-24.3,28.2918017414162
73,1809.42,-24.6,26.8519145805248
74,1809.58,-24.44,27.3616592408947
75,1809.75,-24.65,27.3657254141798
76,1809.92,-25.18,27.0616491784809
77,1810.1,-25.64,26.6525456911674
78,1810.3,-25.31,26.7181241605775
79,1810.5,-24.9,27.1191663209697
80,1810.7,-25.24,26.0859935191033
81,1810.9,-24.6,27.1694204753157
82,1811.08,-25.1,26.577960460429
83,1811.25,-24.84,26.8015171903664
84,1811.42,-24.42,27.1761615056017
85,1811.75,-24.76,26.2044450594452
86,1811.92,-25.44,24.9501269287048
87,1812.13,-25.26,27.3717731066024
88,1812.38,-24.6,26.8845062613195
89,1812.63,-24.72,27.5688797468381
90,1812.88,-24.42,28.2161980982283
91,1813.1,-25.14,26.1187059516125
92,1813.3,-25.54,25.6637143367694
93,1813.5,-25.64,26.7966283047225
94,1813.7,-25.45,27.9561363163732
95,1813.9,-25.17,26.2061052701745
96,1814.1,-26.04,27.1793143547148
97,1814.3,-26.49,26.6579095107434
98,1814.5,-25.62,28.374833925654
99,1814.7,-25.75,27.6895368644043
100,1814.9,-26.36,27.9981125463021
101,1815.1,-26.04,26.547955883911
102,1815.3,-26.36,28.1111091042991
103,1815.5,-26.34,26.7568320166017
104,1815.7,-26.0,26.0519823734995
105,1815.9,-26.6,25.4247193375722
106,1816.3,-26.61,26.5734402338227
107,1816.5,-25.68,28.2077752325439
108,1816.5,-25.62,26.7746084973613
109,1816.7,-24.66,26.7772725901859
110,1816.9,-24.86,25.6509373657929
