date,c13,o18
1712.08,-24.23,27.37
1712.25,-24.2,27.4
1712.42,-25.05,26.69
1712.58,-24.4,26.52
1712.75,-25.04,26.36
1712.92,-25.08,27.26
1713.13,-24.54,26.35
1713.38,-24.79,27.04
1713.63,-24.64,25.55
1713.88,-25.11,25.91
1714.1,-25.32,25.42
1714.3,-23.93,26.25
1714.5,-23.99,25.91
1714.7,-25.86,23.97
1714.9,-25.47,24.35
1715.1,-24.13,24.26
1715.3,-23.79,25.6
1715.5,-23.52,25.18
1715.7,-23.37,25.95
1715.9,-25.23,25.35
1716.1,-23.67,25.72
1716.3,-23.99,25.84
1716.5,-24.81,24.36
1716.7,-24.47,25.44
1716.9,-25.89,24.81
1717.1,-23.84,24.78
1717.3,-23.9,24.55
1717.5,-24.17,24.73
1717.7,-25.27,26.34
1717.9,-25.75,25.81
1718.08,-24.61,25.99
1718.25,-24.75,26.65
1718.42,-24.57,26.19
1718.58,-24.54,26.34
1718.75,-24.69,26.29
1718.92,-25.37,25.88
1719.1,-24.18,26.46
1719.3,-24.32,25.89
1719.5,-24.45,26.03
1719.7,-24.53,26.03
1719.9,-25.27,23.33
1720.13,-25.8,23.22
1720.38,-25.71,23.09
1720.63,-24.64,24.93
1720.88,-25.72,25.19
1721.17,-24.65,25.55
1721.5,-24.23,26.91
1721.83,-25.4,26.82
1722.1,-23.99,25.89
1722.3,-23.88,26.17
1722.5,-24.68,25.09
1722.7,-24.25,27.92
1722.9,-24.9,26.6
1723.17,-24.69,24.45
1723.5,-24.84,24.09
1723.83,-25.33,24.53
1723.83,-24.94,25.16
1724.1,-25.04,26.07
1724.3,-23.72,27.45
1724.5,-24.08,27.25
1724.7,-23.95,27.4
1724.9,-25.59,25.47
1725.08,-25.79,25.01
1725.08,-25.79,25.29
1725.25,-24.88,25.74
1725.42,-25.13,25.61
1725.58,-25.41,26.18
1725.75,-25.53,25.3
1725.92,-25.24,25.72
1726.13,-26.18,24.78
1726.38,-25.22,25.24
1726.63,-25.26,25.0
1726.88,-26.93,23.27
1727.08,-24.92,25.62
1727.25,-24.21,27.0
1727.42,-24.8,24.76
1727.58,-25.21,24.83
1727.75,-25.11,25.11
1727.92,-25.46,25.29
1727.92,-25.64,25.93
1728.1,-24.94,26.57
1728.3,-24.48,25.56
1728.5,-25.22,23.7
1728.7,-25.02,25.14
1728.9,-24.92,25.28
1729.5,-25.08,25.7
1729.5,-25.26,24.28
1729.5,-25.14,25.1
1730.1,-26.34,25.07
1730.3,-25.3,25.31
1730.5,-25.07,25.75
1730.7,-25.36,25.02
1730.7,-25.55,24.73
1730.9,-26.32,24.85
1731.5,-25.25,25.54
1731.5,-25.22,25.27
1731.5,-25.3,25.11
1732.13,-24.91,25.53
1732.38,-25.12,25.51
1732.63,-25.39,24.26
1732.88,-25.2,25.15
1733.25,-25.5,24.92
1733.75,-25.17,24.94
1734.13,-25.33,25.11
1734.38,-25.13,25.53
1734.63,-25.26,25.5
1734.88,-25.2,25.17
1735.17,-25.14,25.94
1735.5,-24.93,26.13
1735.83,-25.41,25.23
1736.1,-24.98,26.34
1736.3,-24.31,26.66
1736.5,-24.71,26.12
1736.7,-25.77,26.15
1736.9,-25.8,25.81
1736.9,-25.75,26.14
1737.1,-25.61,26.12
1737.3,-25.47,25.42
1737.5,-25.43,25.28
1737.7,-25.52,25.19
1737.9,-25.77,24.11
1737.9,-25.41,25.71
1738.08,-23.53,27.51
1738.08,-23.86,27.69
1738.25,-24.13,26.91
1738.42,-24.71,25.74
1738.58,-25.13,25.81
1738.75,-25.65,27.69
